Searched Job Title,Extracted Job Title,Employer,Rating,Location,Salary,Job Link,Job Age
Data Scientist,Data Specialist,Banco Sabadell,3.8,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-specialist-banco-sabadell-JV_IC2547194_KO0,15_KE16,30.htm?jl=1009675632464",20 días
Data Scientist,"Data Scientist, Spain - BCG X",Boston Consulting Group,4.2,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-spain-bcg-x-boston-consulting-group-JV_IC2664239_KO0,26_KE27,50.htm?jl=1009450427667",+ 30 d
Data Scientist,TÉCNICO/A CRM DATA SCIENTIST,Grupo Orenes,4.5,Murcia,Salary not specified,"https://www.glassdoor.es/job-listing/t%C3%A9cnico-a-crm-data-scientist-grupo-orenes-JV_IC2607772_KO0,28_KE29,41.htm?jl=1009507559266",+ 30 d
Data Scientist,Data Scientist,TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-tomtom-JV_IC2664239_KO0,14_KE15,21.htm?jl=1009328327761",+ 30 d
Data Scientist,Solution Analyst (SmartBanking AI / CO2 FI) - X Delivery,Boston Consulting Group,4.2,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/solution-analyst-smartbanking-ai-co2-fi-x-delivery-boston-consulting-group-JV_IC2664239_KO0,50_KE51,74.htm?jl=1009628620254",+ 30 d
Data Scientist,Senior Data Scientist,TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/senior-data-scientist-tomtom-JV_IC2664239_KO0,21_KE22,28.htm?jl=1009451069046",+ 30 d
Data Scientist,MLOps Engineer,Sanofi EU,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/mlops-engineer-sanofi-eu-JV_IC2547194_KO0,14_KE15,24.htm?jl=1009680723358",17 días
Data Scientist,Title not available,Employer not specified,Rating not available,Location not available,Salary not specified,No link available,Job age not available
Data Scientist,Software Engineer IV (ADAS),TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/software-engineer-iv-adas-tomtom-JV_IC2664239_KO0,25_KE26,32.htm?jl=1009683942092",13 días
Data Scientist,Inside Sales Representative Mallorca – Full Time,SurveyEngine GmbH,Rating not available,España,Salary not specified,"https://www.glassdoor.es/job-listing/inside-sales-representative-mallorca-full-time-surveyengine-gmbh-JV_KO0,46_KE47,64.htm?jl=1009669782406",26 días
Data Scientist,Senior Engineering Manager (Applied Science),TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/senior-engineering-manager-applied-science-tomtom-JV_IC2664239_KO0,42_KE43,49.htm?jl=1009207575876",+ 30 d
Data Scientist,plaça de Data Scientist Junior CIDO,"UPCnet, SL",3.3,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/pla%C3%A7a-de-data-scientist-junior-cido-upcnet-sl-JV_IC2547194_KO0,35_KE36,45.htm?jl=1009678103695",19 días
Data Scientist,Data Scientist - Python y SQL,Grupo Planeta,4.4,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-python-y-sql-grupo-planeta-JV_IC2547194_KO0,27_KE28,41.htm?jl=1009651609476",+ 30 d
Data Scientist,"Data Scientist, Ecommerce",The Knot Worldwide,3.3,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-ecommerce-the-knot-worldwide-JV_IC2547194_KO0,24_KE25,43.htm?jl=1009701052748",24 horas
Data Scientist,Data Scientist (Trainee),SeQura,4.4,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-trainee-sequra-JV_IC2547194_KO0,22_KE23,29.htm?jl=1009675762478",20 días
Data Scientist,Data Scientist (m/f/d),"Linde Portugal, LDA",3.6,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-mfd-linde-portugal-lda-JV_IC2547194_KO0,18_KE19,37.htm?jl=1009691319350",7 días
Data Scientist,Data Scientist Junior,IThinkUPC,3.8,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-junior-ithinkupc-JV_IC2547194_KO0,21_KE22,31.htm?jl=1009675558132",21 días
Data Scientist,"Data Analyst - Data & AI Team (Europe, Remote)",WebPros,3.1,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-analyst-data-ai-team-europe-remote-webpros-JV_IC2547194_KO0,39_KE40,47.htm?jl=1009697346605",4 días
Data Scientist,Data Scientist,ZF,3.8,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-zf-JV_IC2547194_KO0,14_KE15,17.htm?jl=1009570538200",+ 30 d
Data Scientist,Expert Data Scientist - Advanced Analytics & Innovation,Nestlé,3.8,España,Salary not specified,"https://www.glassdoor.es/job-listing/expert-data-scientist-advanced-analytics-innovation-nestl%C3%A9-JV_KO0,51_KE52,58.htm?jl=1009670821913",25 días
Data Scientist,Data Scientist,Desigual,3.6,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-desigual-JV_IC2547194_KO0,14_KE15,23.htm?jl=1009608958945",+ 30 d
Data Scientist,Data Scientist (GTM Advanced Analytics),Hewlett Packard,4.1,España,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-gtm-advanced-analytics-hewlett-packard-JV_KO0,37_KE38,53.htm?jl=1009695481860",5 días
Data Scientist,Cheminformatics Data Scientist,AstraZeneca,4.0,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/cheminformatics-data-scientist-astrazeneca-JV_IC2547194_KO0,30_KE31,42.htm?jl=1009697747676",3 días
Data Scientist,Data Scientist,Appodeal,4.4,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-appodeal-JV_IC2547194_KO0,14_KE15,23.htm?jl=1009691124296",7 días
Data Scientist,Data Scientist (m/f/d),DocMorris AG,3.4,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-mfd-docmorris-ag-JV_IC2547194_KO0,18_KE19,31.htm?jl=1009431579568",+ 30 d
Data Scientist,Junior Mid Data Scientist,Business Insights,3.5,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/junior-mid-data-scientist-business-insights-JV_KO0,25_KE26,43.htm?jl=1009661822798",+ 30 d
Data Scientist,Soccer Data Scientist - EU,Swish Analytics,4.8,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/soccer-data-scientist-eu-swish-analytics-JV_IC2547194_KO0,24_KE25,40.htm?jl=1009603783021",+ 30 d
Data Scientist,"Senior Data Scientist, The Bash & The Bump",The Knot Worldwide,3.3,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/senior-data-scientist-the-bash-the-bump-the-knot-worldwide-JV_IC2547194_KO0,39_KE40,58.htm?jl=1009701052751",24 horas
Data Scientist,Data Scientist Junior,Metiora,4.1,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-junior-metiora-JV_IC2664239_KO0,21_KE22,29.htm?jl=1009653338774",+ 30 d
Data Scientist,DATA SCIENTIST AND MACHINE LEARNING ENGINEER (AAI),Centre Tecnologic de Catalunya,3.5,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-and-machine-learning-engineer-aai-centre-tecnologic-de-catalunya-JV_IC2547194_KO0,48_KE49,79.htm?jl=1009670584344",25 días
Data Engineer,"AI Engineer, Spain - BCG X",Boston Consulting Group,4.2,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/ai-engineer-spain-bcg-x-boston-consulting-group-JV_IC2664239_KO0,23_KE24,47.htm?jl=1009308989891",+ 30 d
Data Engineer,Data Engineer,TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/data-engineer-tomtom-JV_IC2664239_KO0,13_KE14,20.htm?jl=1009611377465",+ 30 d
Data Engineer,SOC Engineer,Axalta Coat. Sys. Spain,3.6,España,Salary not specified,"https://www.glassdoor.es/job-listing/soc-engineer-axalta-coat-sys-spain-JV_KO0,12_KE13,34.htm?jl=1009673572815",23 días
Data Engineer,SAP Quality Management Expert,Axalta Coat. Sys. Spain,3.6,España,Salary not specified,"https://www.glassdoor.es/job-listing/sap-quality-management-expert-axalta-coat-sys-spain-JV_KO0,29_KE30,51.htm?jl=1009518187785",+ 30 d
Data Engineer,AI Lab - Junior Machine Learning Engineer,Hewlett Packard,4.1,España,Salary not specified,"https://www.glassdoor.es/job-listing/ai-lab-junior-machine-learning-engineer-hewlett-packard-JV_KO0,39_KE40,55.htm?jl=1009698852841",3 días
Data Engineer,Senior Frontend Engineer (ReactJS),JOIN,3.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/senior-frontend-engineer-reactjs-join-JV_IC2547194_KO0,32_KE33,37.htm?jl=1009689428092",9 días
