Job Title,Employer,Rating,Location,Salary,Job Link,Job Age
Fisioterapia a jornada completa,Tarso Fisioterapia y Osteopatia,Rating not available,Navalmoral de la Mata,Salary not specified,"https://www.glassdoor.es/job-listing/fisioterapia-a-jornada-completa-tarso-fisioterapia-y-osteopatia-JV_IC2609089_KO0,31_KE32,63.htm?jl=1009695928617",24 horas
Chef Personal,Artista Contemporaneo,Rating not available,España,Salary not specified,"https://www.glassdoor.es/job-listing/chef-personal-artista-contemporaneo-JV_KO0,13_KE14,35.htm?jl=1009688202337",5 días
Nefrólogo/a (León),Fresenius Medical Care,3.4,España,Salary not specified,"https://www.glassdoor.es/job-listing/nefr%C3%B3logo-a-le%C3%B3n-fresenius-medical-care-JV_KO0,16_KE17,39.htm?jl=1009624859171",+ 30 d
Tutor bilingüe - Entrenador de IA,DataAnnotation,4.0,España,Salary not specified,"https://www.glassdoor.es/job-listing/tutor-biling%C3%BCe-entrenador-de-ia-dataannotation-JV_KO0,31_KE32,46.htm?jl=1009533532801",+ 30 d
GESTIÓN COMERCIAL EN LA RED DE OFICINAS DE BBVA EN ESPAÑA,BBVA,4.2,España,Salary not specified,"https://www.glassdoor.es/job-listing/gesti%C3%B3n-comercial-en-la-red-de-oficinas-de-bbva-en-espa%C3%B1a-bbva-JV_KO0,57_KE58,62.htm?jl=1009688840281",+ 30 d
Escritor freelance - Entrenador de IA,DataAnnotation,4.0,Trabajo en remoto,Salary not specified,"https://www.glassdoor.es/job-listing/escritor-freelance-entrenador-de-ia-dataannotation-JV_KO0,35_KE36,50.htm?jl=1009533480484",+ 30 d
Comercial,Magic Catamarans,Rating not available,Palamós,Salary not specified,"https://www.glassdoor.es/job-listing/comercial-magic-catamarans-JV_IC2562031_KO0,9_KE10,26.htm?jl=1009695686936",24 horas
Customer Care Specialist - Italia + Spain,Heymondo,Rating not available,Trabajo en remoto,Salary not specified,"https://www.glassdoor.es/job-listing/customer-care-specialist-italia-spain-heymondo-JV_KO0,37_KE38,46.htm?jl=1009627400928",+ 30 d
Administrativo,GRUPO ASESORES REUNIDOS,Rating not available,España,Salary not specified,"https://www.glassdoor.es/job-listing/administrativo-grupo-asesores-reunidos-JV_KO0,14_KE15,38.htm?jl=1009670141531",21 días
German Content Moderator - Barcelona,Teleperformance Spain,4.3,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/german-content-moderator-barcelona-teleperformance-spain-JV_IC2547194_KO0,34_KE35,56.htm?jl=1009203984577",+ 30 d
